Time,Start Time,End Time,Weather
2018-06-10,2018-06-10 09:30:00,2018-06-10 20:30:00,02High temperature
2018-06-11,2018-06-11 11:00:00,2018-06-11 15:00:00,02High temperature
2018-06-19,2018-06-19 12:00:00,2018-06-19 12:30:00,02High temperature
2018-06-20,2018-06-20 10:00:00,2018-06-20 13:00:00,02High temperature
2018-06-21,2018-06-21 12:30:00,2018-06-21 13:30:00,02High temperature
2018-06-22,2018-06-22 09:30:00,2018-06-22 09:30:00,02High temperature
2018-06-26,2018-06-26 11:30:00,2018-06-26 11:30:00,02High temperature
2018-06-27,2018-06-27 13:45:00,2018-06-27 15:30:00,02High temperature
2018-06-28,2018-06-28 11:00:00,2018-06-28 17:30:00,02High temperature
2018-06-29,2018-06-29 10:45:00,2018-06-29 17:00:00,02High temperature
2018-06-30,2018-06-30 09:00:00,2018-06-30 17:15:00,02High temperature
2018-07-01,2018-07-01 10:00:00,2018-07-01 18:00:00,02High temperature
2018-07-03,2018-07-03 09:00:00,2018-07-03 09:00:00,02High temperature
2018-07-04,2018-07-04 11:00:00,2018-07-04 11:00:00,02High temperature
2018-07-05,2018-07-05 10:00:00,2018-07-05 10:00:00,02High temperature
2018-07-06,2018-07-06 11:30:00,2018-07-06 21:00:00,02High temperature
2018-07-07,2018-07-07 10:30:00,2018-07-07 16:00:00,02High temperature
2018-07-08,2018-07-08 10:00:00,2018-07-08 10:00:00,02High temperature
2018-07-09,2018-07-09 14:45:00,2018-07-09 15:00:00,02High temperature
2018-07-11,2018-07-11 09:45:00,2018-07-11 18:00:00,02High temperature
2018-07-12,2018-07-12 11:00:00,2018-07-12 14:30:00,02High temperature
2018-07-17,2018-07-17 12:15:00,2018-07-17 18:30:00,02High temperature
2018-07-20,2018-07-20 17:00:00,2018-07-20 17:00:00,02High temperature
2018-07-21,2018-07-21 11:30:00,2018-07-21 16:15:00,02High temperature
2018-07-22,2018-07-22 10:30:00,2018-07-22 11:15:00,02High temperature
2018-07-24,2018-07-24 14:30:00,2018-07-24 15:00:00,02High temperature
2018-07-25,2018-07-25 13:00:00,2018-07-25 14:30:00,02High temperature
2018-07-26,2018-07-26 14:30:00,2018-07-26 14:30:00,02High temperature
2018-07-27,2018-07-27 13:00:00,2018-07-27 15:00:00,02High temperature
2018-07-28,2018-07-28 09:45:00,2018-07-28 14:00:00,02High temperature
2018-07-29,2018-07-29 09:00:00,2018-07-29 16:30:00,02High temperature
2018-07-30,2018-07-30 08:00:00,2018-07-30 16:45:00,02High temperature
2018-07-31,2018-07-31 10:45:00,2018-07-31 16:00:00,02High temperature
2018-08-01,2018-08-01 09:30:00,2018-08-01 19:00:00,02High temperature
2018-08-02,2018-08-02 12:30:00,2018-08-02 17:15:00,02High temperature
2018-08-03,2018-08-03 09:00:00,2018-08-03 16:15:00,02High temperature
2018-08-05,2018-08-05 11:00:00,2018-08-05 18:00:00,02High temperature
2018-08-06,2018-08-06 09:00:00,2018-08-06 18:00:00,02High temperature
2018-08-07,2018-08-07 02:30:00,2018-08-07 18:30:00,02High temperature
2018-08-08,2018-08-08 11:00:00,2018-08-08 16:45:00,02High temperature
