,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-03 23:45:00,5160.28594336303,5160.28594336303,5160.28594336303
2023-01-04 00:00:00,5828.090739754972,5828.090739754972,5828.090739754972
2023-01-04 00:15:00,5923.418941965193,5923.418941965193,5923.418941965193
2023-01-04 00:30:00,5902.832351659677,5902.832351659677,5902.832351659677
2023-01-04 00:45:00,5896.086079292626,5896.086079292626,5896.086079292626
2023-01-04 01:00:00,5876.995466474954,5876.995466474954,5876.995466474954
2023-01-04 01:15:00,5836.986953160641,5836.986953160641,5836.986953160641
2023-01-04 01:30:00,5821.908932539359,5821.908932539359,5821.908932539359
2023-01-04 01:45:00,5804.9466405830935,5804.9466405830935,5804.9466405830935
2023-01-04 02:00:00,5795.523083941654,5795.523083941654,5795.523083941654
2023-01-04 02:15:00,5791.753441288423,5791.753441288423,5791.753441288423
2023-01-04 02:30:00,5780.44506332037,5780.44506332037,5780.44506332037
2023-01-04 02:45:00,5784.214155981966,5784.214155981966,5784.214155981966
2023-01-04 03:00:00,5808.715183253055,5808.715183253055,5808.715183253055
2023-01-04 03:15:00,5846.409409818815,5846.409409818815,5846.409409818815
2023-01-04 03:30:00,5876.56490106975,5876.56490106975,5876.56490106975
2023-01-04 03:45:00,5899.181657005857,5899.181657005857,5899.181657005857
2023-01-04 04:00:00,5895.412564344262,5895.412564344262,5895.412564344262
2023-01-04 04:15:00,5901.066478332472,5901.066478332472,5901.066478332472
2023-01-04 04:30:00,5919.913591615352,5919.913591615352,5919.913591615352
2023-01-04 04:45:00,5931.2219695834065,5931.2219695834065,5931.2219695834065
2023-01-04 05:00:00,5929.337698248426,5929.337698248426,5929.337698248426
2023-01-04 05:15:00,5921.798962933598,5921.798962933598,5921.798962933598
2023-01-04 05:30:00,5904.836670977336,5904.836670977336,5904.836670977336
2023-01-04 05:45:00,5889.759200347685,5889.759200347685,5889.759200347685
2023-01-04 06:00:00,5869.02726573819,5869.02726573819,5869.02726573819
2023-01-04 06:15:00,5842.640867148852,5842.640867148852,5842.640867148852
2023-01-04 06:30:00,5816.255018551147,5816.255018551147,5816.255018551147
2023-01-04 06:45:00,5814.370197224532,5814.370197224532,5814.370197224532
2023-01-04 07:00:00,5778.560791985388,5778.560791985388,5778.560791985388
2023-01-04 07:15:00,5735.212101439785,5735.212101439785,5735.212101439785
2023-01-04 07:30:00,5714.48016683029,5714.48016683029,5714.48016683029
2023-01-04 07:45:00,5731.442458786555,5731.442458786555,5731.442458786555
2023-01-04 08:00:00,5738.98119410138,5738.98119410138,5738.98119410138
2023-01-04 08:15:00,5754.059214722664,5754.059214722664,5754.059214722664
2023-01-04 08:30:00,5693.748232220797,5693.748232220797,5693.748232220797
2023-01-04 08:45:00,5631.552428392313,5631.552428392313,5631.552428392313
2023-01-04 09:00:00,5556.163975260795,5556.163975260795,5556.163975260795
2023-01-04 09:15:00,5469.4665941695885,5469.4665941695885,5469.4665941695885
2023-01-04 09:30:00,5343.190165186008,5343.190165186008,5343.190165186008
2023-01-04 09:45:00,5060.481815967914,5060.481815967914,5060.481815967914
2023-01-04 10:00:00,4698.614820973438,4698.614820973438,4698.614820973438
2023-01-04 10:15:00,4310.361977381258,4310.361977381258,4310.361977381258
2023-01-04 10:30:00,3874.990800590245,3874.990800590245,3874.990800590245
2023-01-04 10:45:00,3447.158909105691,3447.158909105691,3447.158909105691
2023-01-04 11:00:00,3017.441646302889,3017.441646302889,3017.441646302889
2023-01-04 11:15:00,2661.228565296624,2661.228565296624,2661.228565296624
2023-01-04 11:30:00,2320.0940549032757,2320.0940549032757,2320.0940549032757
2023-01-04 11:45:00,2003.460571781018,2003.460571781018,2003.460571781018
2023-01-04 12:00:00,1688.711909985375,1688.711909985375,1688.711909985375
2023-01-04 12:15:00,1406.0035607672803,1406.0035607672803,1406.0035607672803
2023-01-04 12:30:00,1291.0355097517547,1291.0355097517547,1291.0355097517547
2023-01-04 12:45:00,1247.6868192061513,1247.6868192061513,1247.6868192061513
2023-01-04 13:00:00,1213.7616853019883,1213.7616853019883,1213.7616853019883
2023-01-04 13:15:00,1204.3381286605481,1204.3381286605481,1204.3381286605481
2023-01-04 13:30:00,1196.79884335409,1196.79884335409,1196.79884335409
2023-01-04 13:45:00,1191.144929365879,1191.144929365879,1191.144929365879
2023-01-04 14:00:00,1174.1826374096142,1174.1826374096142,1174.1826374096142
2023-01-04 14:15:00,1151.5658814735054,1151.5658814735054,1151.5658814735054
2023-01-04 14:30:00,1127.0643042107818,1127.0643042107818,1127.0643042107818
2023-01-04 14:45:00,1123.294661557553,1123.294661557553,1123.294661557553
2023-01-04 15:00:00,1110.1014622628836,1110.1014622628836,1110.1014622628836
2023-01-04 15:15:00,1102.5621769564254,1102.5621769564254,1102.5621769564254
2023-01-04 15:30:00,1104.44699828304,1104.44699828304,1104.44699828304
2023-01-04 15:45:00,1100.6779056214439,1100.6779056214439,1100.6779056214439
2023-01-04 16:00:00,1127.0643042107818,1127.0643042107818,1127.0643042107818
2023-01-04 16:15:00,1174.1826374096142,1174.1826374096142,1174.1826374096142
2023-01-04 16:30:00,1215.6465066286028,1215.6465066286028,1215.6465066286028
2023-01-04 16:45:00,1296.6894237399652,1296.6894237399652,1296.6894237399652
2023-01-04 17:00:00,1375.847519524713,1375.847519524713,1375.847519524713
2023-01-04 17:15:00,1453.1213439744797,1453.1213439744797,1453.1213439744797
2023-01-04 17:30:00,1524.7407044444021,1524.7407044444021,1524.7407044444021
2023-01-04 17:45:00,1607.668442882379,1607.668442882379,1607.668442882379
2023-01-04 18:00:00,1679.2883533439351,1679.2883533439351,1679.2883533439351
2023-01-04 18:15:00,1735.8302431842071,1735.8302431842071,1735.8302431842071
2023-01-04 18:30:00,1801.795139674286,1801.795139674286,1801.795139674286
2023-01-04 18:45:00,1828.180988271991,1828.180988271991,1828.180988271991
2023-01-04 19:00:00,1826.2961669453764,1826.2961669453764,1826.2961669453764
2023-01-04 19:15:00,1824.4113456187615,1824.4113456187615,1824.4113456187615
